Image#  Defocus1  Defocus2  Astig
  116   34199.4   33620.7   69.11
  116   34199.4   33620.7   69.11
  116   34199.4   33620.7   69.11
  117   33770.0   34697.3   -4.82
  118   29016.8   29558.5   10.56
  118   29016.8   29558.5   10.56
  119   29900.0   30292.0   -3.48
  119   29900.0   30292.0   -3.48
  119   29900.0   30292.0   -3.48
  120   24944.3   25362.2  -13.15
  120   24944.3   25362.2  -13.15
  121   24534.2   23937.3   52.36
  121   24534.2   23937.3   52.36
  121   24534.2   23937.3   52.36
  121   24534.2   23937.3   52.36
  122   24721.7   23438.2   71.83
  122   24721.7   23438.2   71.83
  122   24721.7   23438.2   71.83
  123   47557.2   49118.2   -0.24
  123   47557.2   49118.2   -0.24
  123   47557.2   49118.2   -0.24
  124   41413.2   42336.9   -9.81
  124   41413.2   42336.9   -9.81
  124   41413.2   42336.9   -9.81
  124   41413.2   42336.9   -9.81
  125   41486.4   42447.8   -6.68
  125   41486.4   42447.8   -6.68
  126   34058.6   34837.2   15.11
  126   34058.6   34837.2   15.11
  126   34058.6   34837.2   15.11
  126   34058.6   34837.2   15.11
  127   26792.8   27688.5   -4.21
  128   45660.7   47231.3   -2.94
  128   45660.7   47231.3   -2.94
  128   45660.7   47231.3   -2.94
  128   45660.7   47231.3   -2.94
  129   41118.8   43037.2   -9.47
  129   41118.8   43037.2   -9.47
  129   41118.8   43037.2   -9.47
  130   38306.6   37104.4   71.57
  130   38306.6   37104.4   71.57
  131   38720.1   39855.8   -6.12
  131   38720.1   39855.8   -6.12
  132   37474.8   37198.0   30.63
  132   37474.8   37198.0   30.63
  132   37474.8   37198.0   30.63
  133   36291.9   35745.5   67.48
  134   33026.3   34124.6   13.41
  135   31310.4   30900.9   75.06
  135   31310.4   30900.9   75.06
  135   31310.4   30900.9   75.06
  135   31310.4   30900.9   75.06
  136   31356.4   30943.9   73.01
  136   31356.4   30943.9   73.01
  136   31356.4   30943.9   73.01
  136   31356.4   30943.9   73.01
  137   28255.4   27693.8   72.16
  138   28983.8   28550.1   71.24
  138   28983.8   28550.1   71.24
  139   27087.9   26223.8   79.68
  139   27087.9   26223.8   79.68
  139   27087.9   26223.8   79.68
  140   28337.0   27799.3   66.15
  141   24193.9   25013.1    6.19
  141   24193.9   25013.1    6.19
  142   45769.5   47115.9  -11.00
  142   45769.5   47115.9  -11.00
  143   45868.4   43736.6   22.16
  143   45868.4   43736.6   22.16
  143   45868.4   43736.6   22.16
  144   41509.9   42992.6    2.77
  144   41509.9   42992.6    2.77
  145   32095.0   33073.1    1.98
  145   32095.0   33073.1    1.98
  145   32095.0   33073.1    1.98
  145   32095.0   33073.1    1.98
  145   32095.0   33073.1    1.98
  146   42053.5   43661.1   -7.16
  146   42053.5   43661.1   -7.16
  147   44693.2   46510.8   -2.55
  147   44693.2   46510.8   -2.55
  147   44693.2   46510.8   -2.55
  148   42046.0   41196.1   57.46
  148   42046.0   41196.1   57.46
  149   43945.0   43568.4   62.74
  150   40345.2   42059.1   -7.40
  150   40345.2   42059.1   -7.40
  150   40345.2   42059.1   -7.40
  150   40345.2   42059.1   -7.40
  150   40345.2   42059.1   -7.40
  151   37935.9   36860.7   77.55
  151   37935.9   36860.7   77.55
  151   37935.9   36860.7   77.55
  151   37935.9   36860.7   77.55
  152   39726.2   38855.5   65.78
  152   39726.2   38855.5   65.78
  152   39726.2   38855.5   65.78
  152   39726.2   38855.5   65.78
  153   38047.3   38151.7   14.04
  153   38047.3   38151.7   14.04
  154   35558.2   33706.1   79.23
  155   33230.5   32567.8   65.33
  156   30212.0   30682.1   -0.58
  156   30212.0   30682.1   -0.58
